,State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
363,India,Kailashahar,24.0,33.0,1.0,10.0,115.0,5.0,90.0,27.0,40.0,Good
364,Mizoram,Saitlaw,26.0,37.0,,,,2.0,90.0,23.0,42.0,Good
365,Tripura,Dharmanagar,24.0,33.0,1.0,10.0,115.0,5.0,90.0,27.0,40.0,Good
366,Telangana,Bhuvanagiri,39.0,53.0,26.0,14.0,468.0,26.0,86.0,24.0,64.0,Satisfactory
367,Telangana,Siddipet,40.0,54.0,19.0,10.0,527.0,27.0,90.0,23.0,66.0,Satisfactory
368,Telangana,Jangaon,41.0,68.0,23.0,7.0,183.0,24.0,87.0,24.0,68.0,Satisfactory
369,Mizoram,Mamit,26.0,37.0,,,,2.0,90.0,23.0,42.0,Good
370,Uttar Pradesh,Mohan,34.0,86.0,6.0,1.0,780.0,23.0,62.0,30.0,86.0,Satisfactory
371,Uttar Pradesh,Barabanki,23.0,43.0,20.0,10.0,60.0,23.0,65.0,30.0,43.0,Good
372,Uttar Pradesh,Satrikh,23.0,43.0,20.0,10.0,60.0,23.0,64.0,30.0,43.0,Good
373,Uttar Pradesh,Itaunja,32.0,60.0,22.0,10.0,140.0,23.0,65.0,30.0,60.0,Satisfactory
374,Uttar Pradesh,Kakori,34.0,86.0,6.0,1.0,780.0,13.0,89.0,30.0,86.0,Satisfactory
375,Uttar Pradesh,Gosainganj,23.0,43.0,20.0,13.0,60.0,23.0,63.0,30.0,43.0,Good
376,Uttar Pradesh,Malihabad,34.0,86.0,6.0,1.0,780.0,23.0,64.0,30.0,86.0,Satisfactory
377,Uttar Pradesh,Nagram,31.0,63.0,25.0,13.0,160.0,24.0,62.0,30.0,63.0,Satisfactory
378,Uttar Pradesh,Dewa,32.0,60.0,22.0,10.0,140.0,23.0,66.0,30.0,60.0,Satisfactory
379,Uttar Pradesh,Zaidpur,51.0,78.0,25.0,15.0,597.0,24.0,65.0,30.0,85.0,Satisfactory
380,Uttar Pradesh,Lucknow,22.0,53.0,27.0,6.0,663.0,13.0,89.0,30.0,53.0,Satisfactory
381,Uttarakhand,Srinagar,50.0,84.0,31.0,8.0,473.0,2.0,81.0,29.0,84.0,Satisfactory
382,Uttarakhand,Dugadda,50.0,80.0,15.0,10.0,889.0,4.0,76.0,27.0,83.0,Satisfactory
383,Uttarakhand,Kotdwar,50.0,80.0,15.0,10.0,889.0,6.0,75.0,30.0,83.0,Satisfactory
384,Uttarakhand,Lansdowne,50.0,80.0,15.0,10.0,889.0,3.0,77.0,21.0,83.0,Satisfactory
385,Uttarakhand,Salaraitoli,29.0,51.0,24.0,9.0,372.0,6.0,98.0,20.0,51.0,Satisfactory
386,Uttarakhand,Rudraprayag,50.0,84.0,31.0,8.0,473.0,3.0,87.0,27.0,84.0,Satisfactory
387,Uttarakhand,Devprayag,50.0,84.0,31.0,8.0,473.0,2.0,79.0,26.0,84.0,Satisfactory
388,Uttarakhand,Dhandri Talli,50.0,84.0,31.0,8.0,473.0,3.0,81.0,23.0,84.0,Satisfactory
389,Uttarakhand,Ghaglori,54.0,92.0,27.0,18.0,815.0,7.0,95.0,18.0,92.0,Satisfactory
390,Uttarakhand,Ranikhet,54.0,92.0,27.0,18.0,815.0,8.0,94.0,16.0,92.0,Satisfactory
391,Uttarakhand,Sandana,50.0,84.0,31.0,8.0,473.0,5.0,85.0,25.0,84.0,Satisfactory
392,West Medinipur,Ramjibanpur,58.0,83.0,3.0,3.0,103.0,11.0,94.0,27.0,97.0,Satisfactory
393,West Bengal,Shrirampur,21.0,41.0,27.0,9.0,965.0,11.0,87.0,28.0,49.0,Good
394,West Bengal,Bhanjipur,21.0,41.0,27.0,9.0,965.0,10.0,88.0,27.0,49.0,Good
395,West Medinipur,Ghatal,58.0,83.0,3.0,3.0,103.0,9.0,95.0,26.0,97.0,Satisfactory
396,West Bengal,Arambag,58.0,83.0,3.0,3.0,103.0,13.0,93.0,27.0,97.0,Satisfactory
397,West Bengal,Memari,29.0,49.0,23.0,8.0,418.0,17.0,84.0,28.0,49.0,Good
398,West Medinipur,Kharar,58.0,83.0,3.0,3.0,103.0,11.0,94.0,26.0,97.0,Satisfactory
399,West Bengal,Bardhaman,53.0,76.0,2.0,1.0,89.0,14.0,84.0,28.0,89.0,Satisfactory
400,West Bengal,Patrasayer,53.0,76.0,2.0,1.0,89.0,8.0,91.0,27.0,89.0,Satisfactory
401,West Bengal,Talchinan-Sanihati,21.0,41.0,27.0,9.0,965.0,14.0,84.0,28.0,49.0,Good
402,West Bengal,Bagnan,21.0,41.0,27.0,9.0,965.0,12.0,85.0,28.0,49.0,Good
